city,cityLabel,population
http://www.wikidata.org/entity/Q23044,San Rafael,118009
http://www.wikidata.org/entity/Q23051,Swansea,245508
http://www.wikidata.org/entity/Q23070,Sneek,33855
http://www.wikidata.org/entity/Q23154,Bristol,567111
http://www.wikidata.org/entity/Q23311,City of London,8706
http://www.wikidata.org/entity/Q23430,Ulaanbaatar,1396288
http://www.wikidata.org/entity/Q23436,Edinburgh,488050
http://www.wikidata.org/entity/Q23438,Ashgabat,828100
http://www.wikidata.org/entity/Q23551,Mérida,248192
http://www.wikidata.org/entity/Q23564,Podgorica,150977
http://www.wikidata.org/entity/Q24341,Talkalakh,35445
http://www.wikidata.org/entity/Q24826,Liverpool,513441
http://www.wikidata.org/entity/Q25270,Prishtina,198897
http://www.wikidata.org/entity/Q25282,Da Nang,1230847
http://www.wikidata.org/entity/Q25286,Uppsala,166698
http://www.wikidata.org/entity/Q25390,Leeuwarden,92146
http://www.wikidata.org/entity/Q25409,Košice,229040
http://www.wikidata.org/entity/Q25475,Batumi,169095
http://www.wikidata.org/entity/Q25579,Umeå,91916
http://www.wikidata.org/entity/Q25659,Marjayoun,3000
http://www.wikidata.org/entity/Q25797,Žilina,82704
http://www.wikidata.org/entity/Q25804,Trondheim,194860
http://www.wikidata.org/entity/Q26119,Prešov,84824
http://www.wikidata.org/entity/Q26134,Nabatieh,120000
http://www.wikidata.org/entity/Q26155,Jounieh,102221
http://www.wikidata.org/entity/Q8621,Terni,111189
http://www.wikidata.org/entity/Q8646,Hong Kong,7500700
http://www.wikidata.org/entity/Q8673,Lagos,14862000
http://www.wikidata.org/entity/Q8684,Seoul,9668465
http://www.wikidata.org/entity/Q8692,Bilbao,344127
http://www.wikidata.org/entity/Q8693,Coswig,20535
http://www.wikidata.org/entity/Q8745,Vigo,292374
http://www.wikidata.org/entity/Q8826,Palma,415940
http://www.wikidata.org/entity/Q8856,Straelen,16232
http://www.wikidata.org/entity/Q8969,Cancun,888797
http://www.wikidata.org/entity/Q9022,Guadalajara,1460148
http://www.wikidata.org/entity/Q9270,Thimphu,104000
http://www.wikidata.org/entity/Q9279,Bandar Seri Begawan,50000
http://www.wikidata.org/entity/Q9326,Vientiane,948487
http://www.wikidata.org/entity/Q9347,Malé,133019
http://www.wikidata.org/entity/Q9365,Dushanbe,863400
http://www.wikidata.org/entity/Q9427,Timbuktu,35330
http://www.wikidata.org/entity/Q9783,Roermond,57308
http://www.wikidata.org/entity/Q9824,Erode,151184
http://www.wikidata.org/entity/Q9863,Salem,693236
http://www.wikidata.org/entity/Q9885,Coimbatore,959823
http://www.wikidata.org/entity/Q9888,Ooty,88430
http://www.wikidata.org/entity/Q9920,Haarlem,162543
http://www.wikidata.org/entity/Q9954,Purmerend,81515
http://www.wikidata.org/entity/Q9974,Weesp,19334
http://www.wikidata.org/entity/Q10014,Kampen,52398
http://www.wikidata.org/entity/Q10509,Elche,235580
http://www.wikidata.org/entity/Q10566,Saskatoon,246376
http://www.wikidata.org/entity/Q10686,Belfast,333871
http://www.wikidata.org/entity/Q10690,Cardiff,361469
http://www.wikidata.org/entity/Q10717,Georgetown,200500
http://www.wikidata.org/entity/Q10779,Zwenkau,9246
http://www.wikidata.org/entity/Q11043,Wiehl,25088
http://www.wikidata.org/entity/Q11194,Sarajevo,275524
http://www.wikidata.org/entity/Q11285,Hetauda,84671
http://www.wikidata.org/entity/Q11568,Darwin,136828
http://www.wikidata.org/entity/Q11711,Siem Reap,147866
http://www.wikidata.org/entity/Q11725,Chongqing,7739000
http://www.wikidata.org/entity/Q11736,Tianjin,13866009
http://www.wikidata.org/entity/Q11739,Lahore,11126285
http://www.wikidata.org/entity/Q11864,Junagadh,320250
http://www.wikidata.org/entity/Q11909,Vadodara,2065771
http://www.wikidata.org/entity/Q11910,Gandhinagar,195891
http://www.wikidata.org/entity/Q11959,Alicante,338577
http://www.wikidata.org/entity/Q11977,Tychy,124882
http://www.wikidata.org/entity/Q11994,Miranda de Ebro,35239
http://www.wikidata.org/entity/Q12258,Sabadell,215760
http://www.wikidata.org/entity/Q12292,Vila-real,51369
http://www.wikidata.org/entity/Q12303,Jerez de la Frontera,212730
http://www.wikidata.org/entity/Q12618,Olot,36716
http://www.wikidata.org/entity/Q12994,Bruges,118509
http://www.wikidata.org/entity/Q13077,Hualpén,91773
http://www.wikidata.org/entity/Q13153,Ronda,33401
http://www.wikidata.org/entity/Q13318,Imperia,42602
http://www.wikidata.org/entity/Q13320,Savona,60632
http://www.wikidata.org/entity/Q13329,Piacenza,103082
http://www.wikidata.org/entity/Q13360,Reggio Emilia,171944
http://www.wikidata.org/entity/Q13362,Ferrara,132278
http://www.wikidata.org/entity/Q13364,Ravenna,159115
http://www.wikidata.org/entity/Q13367,Forlì,117863
http://www.wikidata.org/entity/Q13369,Rimini,149403
http://www.wikidata.org/entity/Q13372,Carrara,62537
http://www.wikidata.org/entity/Q13373,Lucca,89243
http://www.wikidata.org/entity/Q13375,Pisa,90118
http://www.wikidata.org/entity/Q13377,Prato,193325
http://www.wikidata.org/entity/Q13386,Lecce,95441
http://www.wikidata.org/entity/Q13410,Latina,126470
http://www.wikidata.org/entity/Q13464,Foggia,146803
http://www.wikidata.org/entity/Q13470,Barletta,94477
http://www.wikidata.org/entity/Q13486,Andria,99857
http://www.wikidata.org/entity/Q13498,Taranto,198283
http://www.wikidata.org/entity/Q13625,Vibo Valentia,33642
http://www.wikidata.org/entity/Q13629,Sassari,116641
http://www.wikidata.org/entity/Q13648,Le Tampon,79824
http://www.wikidata.org/entity/Q13666,Messina,234293
